appname,freq,correct_appname
ww attpad   y,1,
wps office 5,1,
ww 15,1,
wpwery,1,
wr,1,
o brawl stars,1,
ws   125,1,
ws 15,1,
ws whatsapp ,1,
wt,1,
o bes,1,
o 77,1,
o 68,1,
o 52,1,
o 50,1,
wv,1,
o 135,1,
o 11,1,
oa 72,1,
oa 83,1,
oe 44,1,
y 0  2,1,
whatsapp   ny,1,
whatsapp   x,1,
oe   az min,1,
y 16,1,
oe,1,
od whatsapp y,1,
whatsapp   z,1,
ne 13,1,
wnsster,1,
whatsapp 2,1,
ne 184,1,
ne 191,1,
whatsapp es y,1,
ne 236,1,
whatsapp s,1,
whatsapp th4m,1,
whatsapp   i,1,
oe  youtube y,1,
y te,1,
whatsapp   a,1,
we telefono,1,
oe 25,1,
nt 132,1,
nachrichten,1,
oe 174,1,
yao,1,
oe 123,1,
webtoon,1,
wf rhotifiche,1,
oe 122,1,
y twitter,1,
whateapp   3,1,
oe 11,1,
oe 10,1,
whatsa   ,1,
od pp,1,
whatsapp thi1m,1,
ne 29,1,
wlsge,1,
y  onefootball,1,
wm 130,1,
nett,1,
oc youtube   4,1,
oc whatsapp,1,
oc google maps,1,
wm whatsapp,1,
obiettivi personali,1,
oahiottiut norennal,1,
y  44 4,1,
wnatsape y,1,
oa ra 0,1,
oa 93,1,
oa 92,1,
wnotifiche,1,
netflix x,1,
netflix ,1,
od 92,1,
y  uo,1,
od 132,1,
ne 52,1,
od 120,1,
nee 27,1,
orm 10,1,
whatsapp z,1,
wi fotocamera 5,1,
neta  2,1,
od 109,1,
od  whatsapp,1,
oc youtube y,1,
oc youtube ny,1,
oc youtube music,1,
oc youtube a,1,
y  whatsapp,1,
safar    y,1,
os tiiktok,1,
orologi,1,
so whatsapp ,1,
so 30,1,
so 67,1,
rm tiktok,1,
so instagram,1,
rk sul ol,1,
riseofkingdoms,1,
ricrx,1,
reverso context ubersetzer,1,
res snapchat,1,
sone note,1,
react y,1,
re th 2tmin,1,
soap2dayhd ru 5,1,
social,1,
re snapchat,1,
re 6,1,
re 45,1,
soe   25,1,
so 3,1,
rn,1,
so 247,1,
rn lomail liceobellinzona ch,1,
sn 195,1,
sn note,1,
rthic,1,
snabenat,1,
snapchat 32,1,
snapchat 7,1,
snapchat e,1,
rs 12,1,
rrr 138,1,
snapehat,1,
snapenet,1,
so 151,1,
roto,1,
ronee 18,1,
rologio,1,
so 19,1,
rn safari,1,
re 26,1,
sonos,1,
sn 12,1,
r  whatsapp,1,
r whatsapp ,1,
r mi dallers,1,
r matal  ers y,1,
r mata  ers,1,
r i dal ors,1,
spotify x  ,1,
spotty,1,
r ethica x,1,
ss   81,1,
re 133,1,
r  rthice,1,
r  mtal  ers  y,1,
r  instagram ,1,
r  ethica y,1,
ss  shein,1,
r   episode,1,
ques  1  33 1111,1,
ss instagram ,1,
ra  snapchat 5,1,
spotify 7,1,
ra telegram,1,
ra whatsapp   a,1,
soundbrenner,1,
soundcloud 4,1,
soundcloud x,1,
re 13,1,
soundcorset accordatore e,1,
sous note,1,
rc cstimer net,1,
spazio giochi,1,
rat snapchat y,1,
spotify   x,1,
ras snapchat,1,
spotify  o,1,
spotify 4,1,
rankila clec,1,
ral,1,
rae   episode   y,1,
rae    episode x,1,
sn 13,1,
rtnica,1,
v  101,1,
se 108,1,
sater,1,
sbb mobile y,1,
s madal  ers,1,
s ethica x,1,
sd rtnice y,1,
se,1,
s ethica 7,1,
se  spotify ,1,
s clock tht1m,1,
se 74,1,
s a,1,
s 49,1,
s 40,1,
s 3 tiles,1,
se 15,1,
se 2,1,
s 2,1,
s 132,1,
satan y,1,
s peysee,1,
s rthica,1,
s rthice y,1,
sab,1,
safar 5,1,
saad 10,1,
safari   x,1,
safari 7,1,
safari a y,1,
safari ee,1,
s tif,1,
s slomanlia,1,
safari sem,1,
safarl,1,
s shein 5,1,
s shein,1,
s s genshin impact,1,
s rtniea,1,
salt  salt tv,1,
samsung health,1,
se 5,1,
se ethica,1,
smartthings,1,
siena 27,1,
s   234 player games,1,
s    instagram,1,
s    happy color,1,
si calendario,1,
ry snapenat,1,
ry snapchat,1,
si notifiche,1,
sie,1,
ry   hogwarts mystery,1,
se real racing 3 ,1,
signal ,1,
sis bper banca,1,
ry,1,
rx whatsapp,1,
slomaniia,1,
slomanlia,1,
rv  smart tv 32,1,
smamicmaalia,1,
shein j,1,
shein,1,
s   4,1,
shazam ,1,
se ve,1,
s  instagram   a,1,
se whatsapp ,1,
security,1,
security y,1,
see 33,1,
s  a3,1,
sen a,1,
s  94,1,
s  53,1,
s  50,1,
s  30,1,
s  15,1,
sf tiktok,1,
shazam,1,
s  14,1,
s  134,1,
qq whatsapp,1,
qq  whatsapp,1,
qo orologio 2,1,
p   episode,1,
tiomobile,1,
paysafecard,1,
pashboard,1,
tirtok,1,
pages,1,
pa hogwarts mystery,1,
titeseo ,1,
p   tiktok,1,
oz whatsapp,1,
tr moodle,1,
tn twitch,1,
to a3,1,
tomb of the mask,1,
tomin,1,
ow 4 istrip,1,
ovolas,1,
total ,1,
township 5,1,
pe  google play store ,1,
pe 33,1,
tio tiomobile,1,
timettree,1,
pinterest 5,1,
thimin,1,
thsmin,1,
thtmin,1,
pingo,1,
ticinonews,1,
tietok y,1,
tih brr min,1,
photos x,1,
photos 1,1,
tikt,1,
tiktok   5,1,
photomath y,1,
photomath x,1,
photomath 5,1,
tiktok th2m,1,
tiktok thi2m,1,
tp attivazione schermo totale,1,
ou zombie tsunami,1,
ss whatsapp ,1,
os  reverso context,1,
os 43,1,
ue 31  3911,1,
os 37,1,
uk 24,1,
os 240,1,
os 19,1,
uk 53,1,
uo impostazioni,1,
up se,1,
oto y,1,
updated today at 18 33,1,
updated today at 21 03,1,
us   10,1,
us 50,1,
orologio   5,1,
us 90,1,
usic,1,
v,1,
u telefono,1,
os 86,1,
u p rc,1,
u,1,
traduci,1,
oto 7,1,
traduttore pons,1,
ot tiktok,1,
traduttore x,1,
ot clash royale,1,
translate google  it x,1,
trebedit,1,
tt aa,1,
os tiktok y,1,
tt note,1,
tw twitch,1,
os tiktok 5,1,
safar  5,1,
os instagram,1,
os foto,1,
twitter 5,1,
theemin,1,
the min,1,
thatmin,1,
sy   an 0 0 1,1,
sudoku com,1,
sweatcoin,1,
switchcraft,1,
q qquizlet,1,
sx cap,1,
sx vap,1,
q marzo,1,
sy,1,
sy  ne,1,
that level again y,1,
q 71,1,
t  foto,1,
t  melke  5,1,
t  mete,1,
q  whatsapp ,1,
t  mete  7 y,1,
t 126,1,
t 53,1,
q traduttore,1,
sualver,1,
q whatsapp   y,1,
q whatsapp 5,1,
qi,1,
ssnotifiche,1,
qd whatsapp 7 y,1,
st,1,
qd whatsapp 5,1,
qd pp p,1,
staglra   z,1,
stagra  2,1,
staqla z,1,
qa oo 8,1,
sticker maker,1,
stn note 5,1,
stop motion,1,
q4,1,
stop motion studio,1,
q whatsapp y,1,
stremio,1,
q  sare,1,
t f,1,
t fifa mobile,1,
telegram   ,1,
potify,1,
pone 54,1,
tempo di uo sblocchi,1,
text or die,1,
poel discord,1,
poe  discord,1,
po 14,1,
po,1,
player gr x,1,
tg castle crush ,1,
th im,1,
player gr 5,1,
th9imin,1,
thabmin,1,
thadimin,1,
plantie,1,
plague inc,1,
potify   y,1,
pp   3,1,
t telefono,1,
telefono x,1,
t telefono y,1,
t tiktok y,1,
tae ae,1,
tait min,1,
taqomin,1,
tc  melee,1,
prime app utilizzate dopo l attivazione,1,
tcs 5,1,
tcs y,1,
tea,1,
preview ff,1,
preferiresti,1,
teams x,1,
telefon,1,
pp m,1,
telefono ,1,
pp ae,1,
s  tiktok,1,
0,1,
mons innvesting com,1,
aggiornato  oggi  12 04,1,
all ge,1,
all  4,1,
alin an,1,
alhateann,1,
al 3am af,1,
akg,1,
aim,1,
aig clash royale,1,
ai tiktok,1,
aggiornato  oggi  12 50,1,
aggiornato  oggi  12 31,1,
aggiornato  oggi  12 07,1,
afhateann,1,
am,1,
afficher plus,1,
afarl,1,
afari y,1,
afari 7,1,
afari   5,1,
afar  ve,1,
afar   y,1,
afar,1,
ae translate,1,
ae subway surf,1,
ae solitario klondike,1,
ae rise of cultures   a,1,
alpaatceann,1,
am tiktok,1,
ae mobile ffs,1,
ann 142,1,
as animalrestaurant,1,
art puzzle,1,
arcobaleno,1,
ar as weenl er,1,
aq,1,
apcut,1,
ap 14,1,
ap,1,
aoe 15,1,
ao snapchat,1,
ao min,1,
ao 5,1,
aniyomi th15m,1,
amaze,1,
angepasst,1,
anessuna 0,1,
ane 196,1,
an whatsapp a,1,
an whatsapp,1,
an traduci y,1,
an mobile rs,1,
an 417,1,
an 23,1,
an 224,1,
an 14,1,
an     1 of  7 1      se,1,
ae mobile mfs,1,
ae clash royale y,1,
at,1,
a safari,1,
a whatsapp   z,1,
a whatsapp   y,1,
a traduttore,1,
a traducl y,1,
a tiktook,1,
a tiktok x,1,
a tiktok j,1,
a tiktok 5,1,
a tiiktok,1,
a tetok,1,
a telefono,1,
a sbb mobile,1,
a s   ee  ee,1,
a3,1,
a roblox,1,
a pd 6,1,
a p,1,
a oy  1,1,
a netflix,1,
a mobile ffs,1,
a mele  5,1,
a lovoo,1,
a life360 y,1,
a last day on earth  survival 5,1,
a instagram z,1,
a inet,1,
a zen match,1,
a4,1,
ae clash of clans ,1,
ad whatsapp 5,1,
ae calendario,1,
ae animalrestaurant,1,
ae ai minuti ic,1,
ae a 2  pees pee,1,
ae 88,1,
ae 47,1,
ae 38,1,
ae 164,1,
ae 12,1,
ae  subways,1,
ae   74,1,
admin,1,
ad  whatsapp,1,
a404,1,
acy,1,
acqua  2 5,1,
acmil,1,
ab,1,
aan 84,1,
aan 232,1,
aa9q,1,
aa tiktok y,1,
aa calcolatrice,1,
aa 63,1,
aa 12,1,
aa,1,
as mobile fs,1,
atar  7,1,
ch tiktok lh,1,
c zalando,1,
calculator,1,
calcolattice,1,
caftari,1,
